"SITEID","STA_SEQ","ID","Station_Name","EVALSTATUS","TNT","SurveyID","SurveyName","XlongDD","YlatDD","WGT","BugAssess","BugBCG","Chloride"
"2.03",NA,"","","LowGrad","Target",NA,"2001-2005",-73.3528,42.0241,143.63371,"","",NA
"2.04",NA,"","","LowGrad","Target",NA,"2001-2005",-73.348,42.0326,143.63371,"","",NA
"2.05",14686,"S14686_2001_2005","Blackberry River","CMPLTE","Target",1,"2001-2005",-73.2818,42.0091,143.63371,"Pass","BCG3",9.283333333
"20.01",NA,"","","LowGrad","Target",NA,"2001-2005",-73.0734,41.8853,204.19493,"","",NA
"20.02",15005,"S15005_2001_2005","Bantam River","CMPLTE","Target",1,"2001-2005",-73.1851,41.7703,204.19493,"Pass","BCG3",8.3
"21.01",NA,"","","NoWade","NonTarget",NA,"2001-2005",-72.8312,41.7845,127.60842,"","",NA
"21.02",14841,"S14841_2001_2005","FARMINGTON RIVER","CMPLTE","Target",1,"2001-2005",-72.9254,41.8234,127.60842,"Pass","BCG3",18.3
"22.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-72.5498,41.7836,156.09348,"","",NA
"22.02",NA,"","","Pond","NonTarget",NA,"2001-2005",-72.6017,41.7797,156.09348,"","",NA
"22.03",15006,"S15006_2001_2005","Hockanum River","CMPLTE","Target",1,"2001-2005",-72.5208,41.8073,156.09348,"Fail","BCG5",39.21666667
"23.01",14879,"S14879_2001_2005","Hop River","CMPLTE","Target",1,"2001-2005",-72.3568,41.7341,140.46829,"","",25.8
"24.01",NA,"","","NoWade","NonTarget",NA,"2001-2005",-72.2475,41.7236,140.09278,"","",NA
"24.02",15007,"S15007_2001_2005","Sawmill Brook","CMPLTE","Target",1,"2001-2005",-72.2037,41.7423,140.09278,"Pass","BCG2",9.533333333
"25.01",NA,"","","Pond","NonTarget",NA,"2001-2005",-71.9713,41.8091,190.6214,"","",NA
"25.02",NA,"","","LowGrad","Target",NA,"2001-2005",-71.9324,41.835,190.6214,"","",NA
"25.03",14888,"S14888_2001_2005","Ekonk Brook","CMPLTE","Target",1,"2001-2005",-71.8782,41.711,190.6214,"Pass","BCG3",11.65
"26.01",NA,"","","Pond","NonTarget",NA,"2001-2005",-71.8442,41.8178,233.85825,"","",NA
"26.02",NA,"","","Pond","NonTarget",NA,"2001-2005",-71.7964,41.8131,233.85825,"","",NA
"26.03",NA,"","","Pond","NonTarget",NA,"2001-2005",-71.8122,41.696,233.85825,"","",NA
"26.04",15008,"S15008_2001_2005","Moosup River","CMPLTE","Target",1,"2001-2005",-71.8402,41.7175,233.85825,"Pass","BCG3",15.7
"27.01",NA,"","","NoWade","NonTarget",NA,"2001-2005",-73.4775,41.6409,202.73839,"","",NA
"27.02",14845,"S14845_2001_2005","Bull Mountain Brook","CMPLTE","Target",1,"2001-2005",-73.4515,41.6783,202.73839,"Pass","BCG3",10.4
"28.01",15024,"S15024_2001_2005","Wood Creek","CMPLTE","Target",1,"2001-2005",-73.2385,41.6429,213.33674,"Pass","BCG2",12.5
"29.01",NA,"","","Pond","NonTarget",NA,"2001-2005",-73.0005,41.6783,171.188,"","",NA
"29.02",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.054,41.6376,171.188,"","",NA
"29.03",14316,"S14316_2001_2005","Naugatuck River","CMPLTE","Target",1,"2001-2005",-73.0586,41.6185,171.188,"Fail","BCG5",29.902
"3.01",14843,"S14843_2001_2005","Sandy Brook","CMPLTE","Target",1,"2001-2005",-73.0567,41.9904,139.04747,"Pass","BCG2",7.5
"30.01",NA,"","","LowGrad","Target",NA,"2001-2005",-72.638,41.6767,133.45221,"","",NA
"30.02",NA,"","","LowGrad","Target",NA,"2001-2005",-72.7998,41.5967,133.45221,"","",NA
"30.03",14547,"S14547_2001_2005","Mattabesset River","CMPLTE","Target",1,"2001-2005",-72.7587,41.6271,133.45221,"","",9.733333333
"31.01",NA,"","","LowGrad","Target",NA,"2001-2005",-72.634,41.6729,152.87464,"","",NA
"31.02",14858,"S14858_2001_2005","Flat Brook","CMPLTE","Target",1,"2001-2005",-72.4668,41.6801,152.87464,"Pass","BCG2",16.8
"32.01",15010,"S15010_2001_2005","Cabin Brook","CMPLTE","Target",1,"2001-2005",-72.3356,41.5601,123.39814,"Pass","BCG3",47.3
"33.01",NA,"","","Pond","NonTarget",NA,"2001-2005",-71.9802,41.6179,135.8037,"","",NA
"33.02",NA,"","","Pond","NonTarget",NA,"2001-2005",-72.119,41.6363,135.8037,"","",NA
"33.03",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-72.0879,41.6667,135.8037,"","",NA
"33.04",14862,"S14862_2001_2005","Bentley Brook","CMPLTE","Target",1,"2001-2005",-72.1366,41.5585,135.8037,"Pass","BCG3",7.9
"34.01",NA,"","","LowGrad","Target",NA,"2001-2005",-71.9688,41.658,143.76745,"","",NA
"34.02",15011,"S15011_2001_2005","Crooked Brook","CMPLTE","Target",1,"2001-2005",-71.9084,41.5987,143.76745,"Pass","BCG3",3.683333333
"35.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.531,41.4913,86.30765,"","",NA
"35.02",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.4151,41.4669,86.30765,"","",NA
"35.03",NA,"","","Pond","NonTarget",NA,"2001-2005",-73.5079,41.4831,86.30765,"","",NA
"35.04",NA,"","","LowGrad","Target",NA,"2001-2005",-73.4179,41.5355,86.30765,"","",NA
"35.05",14846,"S14846_2001_2005","Sawmill Brook","CMPLTE","Target",1,"2001-2005",-73.5105,41.5853,86.30765,"Pass","BCG2",8
"36.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.3218,41.4372,244.97118,"","",NA
"36.02",15012,"S15012_2001_2005","Pomperaug River","CMPLTE","Target",1,"2001-2005",-73.2087,41.5226,244.97118,"Pass","BCG3",18.475
"37.01",14848,"S14848_2001_2005","Naugatuck River","CMPLTE","Target",1,"2001-2005",-73.0385,41.5395,234.62663,"Fail","BCG6",41.8
"38.01",15013,"S15013_2001_2005","Mill River","CMPLTE","Target",1,"2001-2005",-72.9047,41.4262,195.74468,"Pass","BCG4",17.06666667
"39.01",14857,"S14857_2001_2005","Beaver Meadow Brook","CMPLTE","Target",1,"2001-2005",-72.5467,41.4425,190.38704,"Pass","BCG3",12
"4.01",14997,"S14997_2001_2005","East Branch Salmon Brook","CMPLTE","Target",1,"2001-2005",-72.8418,42.0113,232.20324,"Pass","BCG2",10.93333333
"40.01",15014,"S15014_2001_2005","Clark Creek","CMPLTE","Target",1,"2001-2005",-72.4699,41.4444,189.63891,"Pass","",6.966666667
"41.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-72.1541,41.4814,179.96145,"","",NA
"41.02",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-72.148,41.4811,179.96145,"","",NA
"41.03",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-72.1904,41.4536,179.96145,"","",NA
"41.04",NA,"","","Pond","NonTarget",NA,"2001-2005",-72.166,41.4734,179.96145,"","",NA
"41.05",14861,"S14861_2001_2005","Latimer Brook","CMPLTE","Target",1,"2001-2005",-72.2192,41.4201,179.96145,"Pass","BCG3",8.6
"42.01",NA,"","","LowGrad","Target",NA,"2001-2005",-71.9748,41.556,175.9498,"","",NA
"42.02",NA,"","","LowGrad","Target",NA,"2001-2005",-71.957,41.4,175.9498,"","",NA
"42.03",15015,"S15015_2001_2005","Seth Williams Brook","CMPLTE","Target",1,"2001-2005",-71.972,41.4384,175.9498,"Pass","",13.1
"43.01",14859,"S14859_2001_2005","Shunock River","CMPLTE","Target",1,"2001-2005",-71.8577,41.431,207.44301,"Pass","BCG3",9.25
"44.01",15016,"S15016_2001_2005","Titicus River","CMPLTE","Target",1,"2001-2005",-73.5337,41.3316,11.41988,"","",50.26666667
"45.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.5084,41.3722,273.67183,"","",NA
"45.02",NA,"","","Pond","NonTarget",NA,"2001-2005",-73.4481,41.4196,273.67183,"","",NA
"45.03",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.3113,41.3787,273.67183,"","",NA
"45.04",14849,"S14849_2001_2005","Limekiln Brook","CMPLTE","Target",1,"2001-2005",-73.3761,41.3838,273.67183,"Fail","BCG5",21.4
"46.01",NA,"","","Pond","NonTarget",NA,"2001-2005",-73.2938,41.4022,283.94848,"","",NA
"46.02",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.0879,41.38,283.94848,"","",NA
"46.03",15017,"S15017_2001_2005","Fivemile Brook","CMPLTE","Target",1,"2001-2005",-73.1596,41.3868,283.94848,"Pass","BCG3",18.56666667
"47.01",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.8668,41.3982,217.0436,"","",NA
"47.02",14850,"S14850_2001_2005","Bladdens River","CMPLTE","Target",1,"2001-2005",-73.0163,41.3858,217.0436,"","",26.3
"48.01",15018,"S15018_2001_2005","Farm River","CMPLTE","Target",1,"2001-2005",-72.7716,41.4061,244.40579,"Fail","BCG4",24.8
"49.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-72.5489,41.4391,237.80497,"","",NA
"49.02",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-72.4278,41.3755,237.80497,"","",NA
"49.03",NA,"","","Pond","NonTarget",NA,"2001-2005",-72.504,41.3952,237.80497,"","",NA
"49.04",NA,"","","Pond","NonTarget",NA,"2001-2005",-72.5906,41.3392,237.80497,"","",NA
"49.05",14856,"S14856_2001_2005","Pond Meadow Brook","CMPLTE","Target",1,"2001-2005",-72.5902,41.3806,237.80497,"Pass","BCG3",10
"5.01",NA,"","","LowGrad","Target",NA,"2001-2005",-72.5266,42.0206,231.53453,"","",NA
"5.02",14839,"S14839_2001_2005","Muddy Brook","CMPLTE","Target",1,"2001-2005",-72.6838,42.0339,231.53453,"","",22.6
"50.01",NA,"","","LowGrad","Target",NA,"2001-2005",-72.2941,41.3654,138.94318,"","",NA
"50.02",15020,"S15020_2001_2005","Eightmile River","CMPLTE","Target",1,"2001-2005",-72.3396,41.4297,138.94318,"Pass","",11.05
"51.01",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.1631,41.3121,94.99744,"","",NA
"51.02",14860,"S14860_2001_2005","Flat Brook","CMPLTE","Target",1,"2001-2005",-72.0749,41.4063,94.99744,"Pass","BCG3",15.5
"52.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-71.9283,41.3853,87.72071,"","",NA
"52.02",NA,"","","Tidal","NonTarget",NA,"2001-2005",-71.8637,41.3397,87.72071,"","",NA
"52.03",NA,"","","LowGrad","Target",NA,"2001-2005",-71.8363,41.3901,87.72071,"","",NA
"52.04",NA,"","","Pond","NonTarget",NA,"2001-2005",-71.9116,41.4063,87.72071,"","",NA
"52.05",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-71.9131,41.3563,87.72071,"","",NA
"52.06",NA,"","","Tidal","NonTarget",NA,"2001-2005",-71.9173,41.3482,87.72071,"","",NA
"52.07",14721,"S14721_2001_2005","Shunock River","CMPLTE","Target",1,"2001-2005",-71.8489,41.412,87.72071,"Pass","BCG3",10.16666667
"52.08",NA,"","","Pond","NonTarget",NA,"2001-2005",-71.9271,41.387,87.72071,"","",NA
"52.09",NA,"","","LowGrad","Target",NA,"2001-2005",-71.8537,41.42,87.72071,"","",NA
"52.1",NA,"","","Tidal","NonTarget",NA,"2001-2005",-71.8744,41.3394,87.72071,"","",NA
"53.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.5452,41.1567,141.07564,"","",NA
"53.02",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.4218,41.2401,141.07564,"","",NA
"53.03",NA,"","","NoAcc","Target",NA,"2001-2005",-73.4206,41.2275,141.07564,"","",NA
"53.04",14853,"S14853_2001_2005","Norwalk River","CMPLTE","Target",1,"2001-2005",-73.431,41.2042,141.07564,"Fail","BCG5",57.55
"54.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.345,41.1622,283.27855,"","",NA
"54.02",15022,"S15022_2001_2005","West Branch Saugatuck River","CMPLTE","Target",1,"2001-2005",-73.4097,41.2433,283.27855,"Pass","",14.13333333
"55.01",14852,"S14852_2001_2005","Pumpkin Ground Brook","CMPLTE","Target",1,"2001-2005",-73.1358,41.2422,164.89145,"Fail","BCG5",41.35
"56.01",NA,"","","Pond","NonTarget",NA,"2001-2005",-72.8604,41.2778,30.62587,"","",NA
"56.02",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.8178,41.2705,30.62587,"","",NA
"56.03",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.8949,41.2499,30.62587,"","",NA
"56.04",NA,"","","Pond","NonTarget",NA,"2001-2005",-72.86,41.282,30.62587,"","",NA
"56.05",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.8848,41.2578,30.62587,"","",NA
"56.06",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.9603,41.2549,30.62587,"","",NA
"56.07",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-72.8806,41.2872,30.62587,"","",NA
"56.08",15023,"S15023_2001_2005","Farm River","CMPLTE","Target",1,"2001-2005",-72.8627,41.2947,30.62587,"","",14.73333333
"57.01",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.6913,41.2822,16.1468,"","",NA
"57.02",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.5869,41.2737,16.1468,"","",NA
"57.03",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.6806,41.2618,16.1468,"","",NA
"57.04",14854,"S14854_2001_2005","Neck River","CMPLTE","Target",1,"2001-2005",-72.6201,41.2882,16.1468,"","",29.2
"58.01",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.3924,41.2712,11.83216,"","",NA
"58.02",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.4762,41.2764,11.83216,"","",NA
"58.03",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.4543,41.2855,11.83216,"","",NA
"58.04",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.4718,41.2698,11.83216,"","",NA
"58.05",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.5134,41.2653,11.83216,"","",NA
"58.06",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.4662,41.2803,11.83216,"","",NA
"58.07",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.4935,41.2751,11.83216,"","",NA
"58.08",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.4774,41.2814,11.83216,"","",NA
"58.09",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.4723,41.2717,11.83216,"","",NA
"58.1",NA,"","","Tidal","NonTarget",NA,"2001-2005",-72.4212,41.2834,11.83216,"","",NA
"59.01",14851,"S14851_2001_2005","East Branch Byram River","CMPLTE","Target",1,"2001-2005",-73.6817,41.0985,170.49171,"","",29.35
"6.01",NA,"","","NoAcc","Target",NA,"2001-2005",-72.4415,42.0291,212.23579,"","",NA
"6.02",NA,"","","LowGrad","Target",NA,"2001-2005",-72.4512,42.0001,212.23579,"","",NA
"6.03",NA,"","","NoAcc","Target",NA,"2001-2005",-72.3068,42.0312,212.23579,"","",NA
"6.04",NA,"","","LowGrad","Target",NA,"2001-2005",-72.4709,42.0187,212.23579,"","",NA
"6.05",NA,"","","LowGrad","Target",NA,"2001-2005",-72.46,42.007,212.23579,"","",NA
"6.06",14998,"S14998_2001_2005","Still Brook","CMPLTE","Target",1,"2001-2005",-72.3118,42.0192,212.23579,"Pass","BCG4",11.23333333
"60.01",14202,"S14202_2001_2005","Five Mile River","CMPLTE","Target",1,"2001-2005",-73.4798,41.138,125.81446,"Fail","BCG5",59.6
"61.01",NA,"","","Tidal","NonTarget",NA,"2001-2005",-73.2628,41.1261,10.70512,"","",NA
"61.02",NA,"","","Tidal","NonTarget",NA,"2001-2005",-73.2629,41.139,10.70512,"","",NA
"61.03",NA,"","","Tidal","NonTarget",NA,"2001-2005",-73.3133,41.1225,10.70512,"","",NA
"61.04",NA,"","","Tidal","NonTarget",NA,"2001-2005",-73.2371,41.1539,10.70512,"","",NA
"61.05",NA,"","","Tidal","NonTarget",NA,"2001-2005",-73.298,41.1259,10.70512,"","",NA
"61.06",NA,"","","Tidal","NonTarget",NA,"2001-2005",-73.2376,41.1499,10.70512,"","",NA
"61.07",NA,"","","Tidal","NonTarget",NA,"2001-2005",-73.2633,41.1289,10.70512,"","",NA
"61.08",NA,"","","Tidal","NonTarget",NA,"2001-2005",-73.297,41.128,10.70512,"","",NA
"61.09",NA,"","","Tidal","NonTarget",NA,"2001-2005",-73.2579,41.123,10.70512,"","",NA
"61.1",NA,"","","Tidal","NonTarget",NA,"2001-2005",-73.275,41.142,10.70512,"","",NA
"7.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-72.1994,42.0074,205.52993,"","",NA
"7.02",NA,"","","Pond","NonTarget",NA,"2001-2005",-72.1279,41.9987,205.52993,"","",NA
"7.03",NA,"","","Pond","NonTarget",NA,"2001-2005",-72.1347,41.9886,205.52993,"","",NA
"7.04",NA,"","","Pond","NonTarget",NA,"2001-2005",-72.2419,42.0021,205.52993,"","",NA
"7.05",NA,"","","Pond","NonTarget",NA,"2001-2005",-72.2264,42.0317,205.52993,"","",NA
"7.06",14866,"S14866_2001_2005","Stickney Hill Brook","CMPLTE","Target",1,"2001-2005",-72.218,41.9832,205.52993,"Pass","BCG2",7.5
"8.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-71.853,42.024,218.38548,"","",NA
"8.02",14999,"S14999_2001_2005","North Running Brook","CMPLTE","Target",1,"2001-2005",-71.969,41.9658,218.38548,"","",17.73333333
"9.01",NA,"","","Pond","NonTarget",NA,"2001-2005",-71.8219,42.018,194.87714,"","",NA
"9.02",14863,"S14863_2001_2005","Rocky Brook","CMPLTE","Target",1,"2001-2005",-71.8022,42.0134,194.87714,"Pass","BCG3",4.25
"CTS06621-0001",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-71.8458,41.3959,156.3568317,"","",NA
"CTS06621-0002",14456,"S14456_2006_2010","Steele Brook","CMPLTE","Target",2,"2006-2010",-73.0702,41.581,156.3568317,"Fail","",53.9825
"CTS06621-0003",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-73.3107,41.1861,156.3568317,"","",NA
"CTS06621-0004",15989,"S15989_2006_2010","Crystal Lake Brook","CMPLTE","Target",2,"2006-2010",-72.3649,41.9614,156.3568317,"Pass","",22.77
"CTS06621-0005",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-72.3592,41.4311,156.3568317,"","",NA
"CTS06621-0006",16022,"S16022_2006_2010","Weekeepeemee River","CMPLTE","Target",2,"2006-2010",-73.2271,41.5867,156.3568317,"Pass","",14.93
"CTS06621-0007",15528,"S15528_2006_2010","Whiting River","CMPLTE","Target",2,"2006-2010",-73.2683,42.0181,156.3568317,"Pass","",7.18
"CTS06621-0008",15990,"S15990_2006_2010","Spice Brook","CMPLTE","Target",2,"2006-2010",-72.3913,41.8474,156.3568317,"Pass","",63.01
"CTS06621-0009",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-72.5814,41.437,156.3568317,"","",NA
"CTS06621-0010",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-73.1831,41.4083,156.3568317,"","",NA
"CTS06621-0011",15991,"S15991_2006_2010","Stratton Brook","CMPLTE","Target",2,"2006-2010",-72.8458,41.8603,156.3568317,"Pass","",23.55
"CTS06621-0012",NA,"","","Pond","NonTarget",NA,"2006-2010",-72.7614,41.7402,156.3568317,"","",NA
"CTS06621-0013",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-72.9368,41.4725,156.3568317,"","",NA
"CTS06621-0014",NA,"","","Tidal","NonTarget",NA,"2006-2010",-73.1118,41.1862,156.3568317,"","",NA
"CTS06621-0015",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-73.4655,41.8608,156.3568317,"","",NA
"CTS06621-0016",15988,"S15988_2006_2010","Bebbington Brook","CMPLTE","Target",2,"2006-2010",-72.1539,41.8428,156.3568317,"Pass","",12.86725
"CTS06621-0017",NA,"","","NoWade","NonTarget",NA,"2006-2010",-71.8028,41.4169,156.3568317,"","",NA
"CTS06621-0018",NA,"","","Pond","NonTarget",NA,"2006-2010",-73.0393,41.6509,156.3568317,"","",NA
"CTS06621-0019",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-73.0465,41.7573,156.3568317,"","",NA
"CTS06621-0020",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-72.7791,41.8738,156.3568317,"","",NA
"CTS06621-0021",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-72.3691,41.5322,156.3568317,"","",NA
"CTS06621-0022",NA,"","","Pond","NonTarget",NA,"2006-2010",-73.2472,41.6567,156.3568317,"","",NA
"CTS06621-0023",16004,"S16004_2006_2010","Nickelmine Brook","CMPLTE","Target",2,"2006-2010",-73.1728,41.8344,156.3568317,"Pass","",7.43
"CTS06621-0024",NA,"","","Pond","NonTarget",NA,"2006-2010",-72.4779,41.6391,156.3568317,"","",NA
"CTS06621-0025",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-72.5517,41.39,156.3568317,"","",NA
"CTS06621-0026",NA,"","","NoWade","NonTarget",NA,"2006-2010",-73.4606,41.6194,156.3568317,"","",NA
"CTS06621-0027",15992,"S15992_2006_2010","Fox Brook","CMPLTE","Target",2,"2006-2010",-72.8612,42.0262,156.3568317,"Pass","",10.54
"CTS06621-0028",16013,"S16013_2006_2010","Ekonk Brook","CMPLTE","Target",2,"2006-2010",-71.8627,41.691,156.3568317,"Pass","",10
"CTS06621-0029",15987,"S15987_2006_2010","Quinnipiac River","CMPLTE","Target",2,"2006-2010",-72.8198,41.4843,156.3568317,"Fail","",45.07
"CTS06621-0030",NA,"","","Tidal","NonTarget",NA,"2006-2010",-73.5447,41.0429,156.3568317,"","",NA
"CTS06621-0031",NA,"","","Pond","NonTarget",NA,"2006-2010",-71.9382,41.9557,156.3568317,"","",NA
"CTS06621-0032",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-72.0804,41.7486,156.3568317,"","",NA
"CTS06621-0033",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-72.4065,41.3513,156.3568317,"","",NA
"CTS06621-0034",15997,"S15997_2006_2010","Town Farm Brook","CMPLTE","Target",2,"2006-2010",-73.391,41.5571,156.3568317,"Ambiguous","",40.11333333
"CTS06621-0035",NA,"","","LT1mi2","NonTarget",NA,"2006-2010",-72.9367,41.7649,156.3568317,"","",NA
"CTS06621-0036",NA,"","","LowGrad","Target",NA,"2006-2010",-72.6887,41.9609,156.3568317,"","",NA
"CTS06621-0037",15999,"S15999_2006_2010","Silver Brook","CMPLTE","Target",2,"2006-2010",-73.0048,41.2662,156.3568317,"Fail","",28.82
"CTS06621-0038",15996,"S15996_2006_2010","Fenn Brook","CMPLTE","Target",2,"2006-2010",-73.3145,41.5631,156.3568317,"Pass","",33
"CTS06621-0039",15138,"S15138_2006_2010","Bantam River","CMPLTE","Target",2,"2006-2010",-73.1842,41.7301,156.3568317,"Pass","",13.57
"CTS06621-0040",NA,"","","Pond","NonTarget",NA,"2006-2010",-72.511,41.7479,156.3568317,"","",NA
