ProjectIdentifier,staSeq,locationName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityTime,ActivityTimeZoneCodetimezone,ActivityRelativeDepthName,ActivityTopDepthMeasureValue,ActivityTopDepthMeasureUnitCode,ActivityBottomDepthMeasureValue,ActivityBottomDepthMeasureUnitCode,SampleCollectionMethodIdentifier,SampleCollectionEquipmentName,SampleCollectionEquipmentCommentText,ActivityConductingOrganizationText,ActivityCommentText,LaboratoryName,ActivityYlat,ActivityXlong,ActivityhorizCollectMethod,ActivityhorizRefDatum,LabAccession,CharacteristicName,MethodSpeciationName,ResultDetectionConditionText,ResultMeasureValue,ResultMeasureUnitCode,ResultValueTypeName,ResultSampleFractionText,ResultStatusIdentifier,ResultAnalyticalMethodIdentifier,ResultAnalyticalMethodContext,AnalysisStartDate,DetectionQuantitationTypeName,DetectionQuantitationLimitMeasureValue,DetectionLimitMeasureUnitCode,ResultComment,rstLastUpdateDate,actLastUpdateDate
macroInvertABM,14179,"East Branch Naugatuck River",14179-SR-20161005-091000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-10-05,09:10:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160372-001,Chloride,None,NULL,170.5,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-10-27,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14183,"East Aspetuck River",14183-SR-20161018-113500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-10-18,11:35:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160389-008,Chloride,None,NULL,46.6,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-11-01,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14186,"Eightmile Brook",14186-SR-20160715-130000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-07-15,13:00:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160239-005,Chloride,None,NULL,43.5,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-07-28,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14186,"Eightmile Brook",14186-SR-20161028-114500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-10-28,11:45:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160399-014,Chloride,None,NULL,49.2,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-11-10,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14195,"Farmill River",14195-SR-20160615-091500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-06-15,09:15:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160195-002,Chloride,None,NULL,125,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-07-07,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14195,"Farmill River",14195-SR-20161011-094000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-10-11,09:40:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160372-022,Chloride,None,NULL,48.2,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-10-27,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14197,"Farmington River",14197-SR-20171005-111500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2017-10-05,11:15:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,170295-016,Chloride,None,NULL,32.6,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-10-24,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14197,"Farmington River",14197-SR-20181023-090000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2018-10-23,09:00:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,180361-012,Chloride,None,NULL,25.5,ppm,Actual,Total,Preliminary,300.0,USEPA,2018-10-30,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14209,"Fulling Mill Brook",14209-SR-20160720-130500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-07-20,13:05:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160239-010,Chloride,None,NULL,69.7,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-07-28,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14209,"Fulling Mill Brook",14209-SR-20161028-085500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-10-28,08:55:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160399-012,Chloride,None,NULL,51.6,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-11-10,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14221,"Hammonasset River",14221-SR-20161025-110500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-10-25,11:05:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160390-006,Chloride,None,NULL,15.3,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-11-02,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14226,"Harbor Brook",14226-SR-20160921-114000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-09-21,11:40:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160349-010,Chloride,None,NULL,102.5,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-09-29,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
benthicAlgABM,14235,"Hockanum River",14235-SR-20160601-151500-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2016-06-01,15:15:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160168-006,Chloride,None,NULL,111.4,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-06-15,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
benthicAlgABM,14241,"Hockanum River",14241-SR-20160609-084500-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2016-06-09,08:45:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160169-008,Chloride,None,NULL,79.8,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-06-15,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14247,"Hollenbeck River",14247-SR-20161028-105500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-10-28,10:55:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160399-010,Chloride,None,NULL,17.9,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-11-10,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14251,"Housatonic River",14251-SR-20160928-130500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-09-28,13:05:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160366-017,Chloride,None,NULL,49.7,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-10-06,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14254,"Housatonic River",14254-SR-20160928-121500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-09-28,12:15:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160366-016,Chloride,None,NULL,49.2,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-10-06,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14260,"Jeremy River",14260-SR-20170622-111500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2017-06-22,11:15:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,170119-011,Chloride,None,NULL,39.6,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-07-05,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
miscABM,14261,"Kahn Brook",14261-SR-20190614-135300-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2019-06-14,13:53:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,190186-011,Chloride,None,NULL,20.4,ppm,Actual,Total,Preliminary,300.0,USEPA,2019-06-26,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14261,"Kahn Brook",14261-SR-20191009-094000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2019-10-09,09:40:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,190433-001,Chloride,None,NULL,18.9,ppm,Actual,Total,Preliminary,300.0,USEPA,2019-10-11,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
miscABM,14263,"Kahn Brook",14263-SR-20190614-110500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2019-06-14,11:05:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,190186-010,Chloride,None,NULL,19.2,ppm,Actual,Total,Preliminary,300.0,USEPA,2019-06-26,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14263,"Kahn Brook",14263-SR-20191009-104000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2019-10-09,10:40:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,190433-002,Chloride,None,NULL,30.4,ppm,Actual,Total,Preliminary,300.0,USEPA,2019-10-11,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14273,"Limekiln Brook",14273-SR-20161026-092500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-10-26,09:25:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160399-003,Chloride,None,NULL,139.5,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-11-10,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14280,"Little River",14280-SR-20160715-091500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-07-15,09:15:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160239-003,Chloride,None,NULL,37.5,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-07-28,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14280,"Little River",14280-SR-20161028-100000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-10-28,10:00:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160399-013,Chloride,None,NULL,34.8,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-11-10,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14281,"Lyman Brook",14281-SR-20170623-091200-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2017-06-23,09:12:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,170119-013,Chloride,None,NULL,100,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-07-05,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14283,"Mad River",14283-SR-20170801-094500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2017-08-01,09:45:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,170193-001,Chloride,None,NULL,44.6,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-08-16,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,14302,Milli-Q,14302-QCFB-20160511-074000-CHEM-0.0m,"Quality Control Sample-Field Blank",Water,"Deionized Water",2016-05-11,07:40:00,EDT,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,"QAQC Trip Blank",CESE,NULL,NULL,NULL,NULL,160124-024,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Preliminary,300.0,USEPA,2016-05-19,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,14302,Milli-Q,14302-QCFB-20160519-075500-CHEM-0.0m,"Quality Control Sample-Field Blank",Water,"Deionized Water",2016-05-19,07:55:00,EDT,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,"177 QAQC Trip Blank. WT",CESE,NULL,NULL,NULL,NULL,160138-007,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Preliminary,300.0,USEPA,2016-06-02,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
benthicAlgABM,14302,Milli-Q,14302-QCFB-20160601-074000-CHEM-0.1m,"Quality Control Sample-Field Blank",Water,"Deionized Water",2016-06-01,07:40:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160168-001,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Preliminary,300.0,USEPA,2016-06-15,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14302,Milli-Q,14302-QCFB-20160603-074000-CHEM-0.0m,"Quality Control Sample-Field Blank",Water,"Deionized Water",2016-06-03,07:40:00,EDT,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,"Sample taken from mili-Q tap in Windsor Lab",CESE,NULL,NULL,NULL,NULL,160167-002,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Preliminary,300.0,USEPA,2016-06-14,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
benthicAlgABM,14302,Milli-Q,14302-QCFB-20160607-080000-CHEM-0.1m,"Quality Control Sample-Field Blank",Water,"Deionized Water",2016-06-07,08:00:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160169-001,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Preliminary,300.0,USEPA,2016-06-15,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14302,Milli-Q,14302-QCFB-20160608-075000-CHEM-0.0m,"Quality Control Sample-Field Blank",Water,"Deionized Water",2016-06-08,07:50:00,EDT,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,"Sample taken from mili-Q tap in Windsor Lab",CESE,NULL,NULL,NULL,NULL,160167-005,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Preliminary,300.0,USEPA,2016-06-14,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14302,Milli-Q,14302-QCFB-20160615-075500-CHEM-0.0m,"Quality Control Sample-Field Blank",Water,"Deionized Water",2016-06-15,07:55:00,EDT,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,"Sample taken from mili-Q tap in Windsor Lab",CESE,NULL,NULL,NULL,NULL,160195-001,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Preliminary,300.0,USEPA,2016-07-07,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14302,Milli-Q,14302-QCFB-20160622-072000-CHEM-0.0m,"Quality Control Sample-Field Blank",Water,"Deionized Water",2016-06-22,07:20:00,EDT,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,"Sample taken from mili-Q tap in Windsor Lab",CESE,NULL,NULL,NULL,NULL,160195-009,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Preliminary,300.0,USEPA,2016-07-07,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14302,Milli-Q,14302-QCFB-20160629-073000-CHEM-0.0m,"Quality Control Sample-Field Blank",Water,"Deionized Water",2016-06-29,07:30:00,EDT,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,"Sample taken from mili-Q tap in Windsor Lab",CESE,NULL,NULL,NULL,NULL,160195-018,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Preliminary,300.0,USEPA,2016-07-07,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14302,Milli-Q,14302-QCFB-20160713-072500-CHEM-0.0m,"Quality Control Sample-Field Blank",Water,"Deionized Water",2016-07-13,07:25:00,EDT,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160215-009,Chloride,None,NULL,0.4,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-07-20,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14302,Milli-Q,14302-QCFB-20160720-072500-CHEM-0.0m,"Quality Control Sample-Field Blank",Water,"Deionized Water",2016-07-20,07:25:00,EDT,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160239-006,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Preliminary,300.0,USEPA,2016-07-28,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
