SITEID,STA_SEQ,ID,Station_Name,EVALSTATUS,TNT,SurveyID,SurveyName,XlongDD,YlatDD,WGT,ALK,NH3,CA,Chloride,Nitrate,Nitrate_Nitrite,Nitrite,OrthoP,TN,TP,TS,TSS,MMI,BugAssess,LeastDisturbed,DiatomH,DiatomL,DiatomI,BugBCG,FishBCG
15.02,14865,S14865_2001_2005,Skungamaug River,CMPLTE,Target,1,2001-2005,-72.3523,41.8734,117.36299,3.5,0.003,5960,22.55,0.545,0.545,0.003,0.004,0.656,0.0095,78,1.5,,,,0.149253731,0.235489221,3.879310345,,BCG5
16.01,15003,S15003_2001_2005,Wappoquia Brook,CMPLTE,Target,1,2001-2005,-71.9662,41.8756,133.61383,27.66666667,0.00867,11146.66667,18.96666667,0.530666667,0.530666667,0.003,0.021,0.818,0.0717,90,10,82.44,Pass,,0.203333333,0.113333333,6.421052632,,
17.01,,,,Pond,NonTarget,,2001-2005,-71.9217,41.8998,228.78629,,,,,,,,,,,,,,,,,,,,
17.02,,,,Pond,NonTarget,,2001-2005,-71.8742,41.9717,228.78629,,,,,,,,,,,,,,,,,,,,
17.03,,,,Pond,NonTarget,,2001-2005,-71.8616,41.8759,228.78629,,,,,,,,,,,,,,,,,,,,
17.04,,,,Pond,NonTarget,,2001-2005,-71.9149,41.8416,228.78629,,,,,,,,,,,,,,,,,,,,
17.05,,,,LT1mi2,NonTarget,,2001-2005,-71.9524,41.9253,228.78629,,,,,,,,,,,,,,,,,,,,
17.06,,,,NoWade,NonTarget,,2001-2005,-71.9227,41.8631,228.78629,,,,,,,,,,,,,,,,,,,,
17.07,,,,NoWade,NonTarget,,2001-2005,-71.8325,41.9139,228.78629,,,,,,,,,,,,,,,,,,,,
17.08,14878,S14878_2001_2005,Mashamoquet Brook,CMPLTE,Target,1,2001-2005,-71.9295,41.8491,228.78629,6,0.003,5350,14.3,0.399,0.399,0.003,0.007,0.579,0.016,102,2,,,,0.204620462,0.231023102,4.696969697,,BCG5
18.01,15004,S15004_2001_2005,Housatonic River,CMPLTE,Target,1,2001-2005,-73.41,41.7889,98.14326,117,0.02575,30325.02583,31.625,0.4655,0.46675,0.0035,0.00875,0.7,0.022,205,4.25,66.16,Pass,,0.385,0.298333333,5.634146341,BCG3,
19.01,,,,Pond,NonTarget,,2001-2005,-73.2327,41.7442,206.40382,,,,,,,,,,,,,,,,,,,,
19.02,14844,S14844_2001_2005,Lake Waramaug Brook,CMPLTE,Target,1,2001-2005,-73.3336,41.7234,206.40382,12.5,0.003,5990,16.9,0.003,0.003,0.003,0.013,0.1765,0.0465,44,1.5,64.65,Pass,1,0.132045089,0.436392915,2.322946176,BCG3,
2.01,,,,LT1mi2,NonTarget,,2001-2005,-73.2858,42.0055,143.63371,,,,,,,,,,,,,,,,,,,,
2.02,,,,LowGrad,Target,,2001-2005,-73.3471,42.0332,143.63371,,,,,,,,,,,,,,,,,,,,
2.03,,,,LowGrad,Target,,2001-2005,-73.3528,42.0241,143.63371,,,,,,,,,,,,,,,,,,,,
2.04,,,,LowGrad,Target,,2001-2005,-73.348,42.0326,143.63371,,,,,,,,,,,,,,,,,,,,
2.05,14686,S14686_2001_2005,Blackberry River,CMPLTE,Target,1,2001-2005,-73.2818,42.0091,143.63371,55,0.0302,14275,9.283333333,0.503,0.503666667,0.00267,0.0113,0.780166667,0.0303,65.66666667,6,59.83,Pass,,0.253731343,0.192371476,5.687732342,BCG3,BCG3
20.01,,,,LowGrad,Target,,2001-2005,-73.0734,41.8853,204.19493,,,,,,,,,,,,,,,,,,,,
20.02,15005,S15005_2001_2005,Bantam River,CMPLTE,Target,1,2001-2005,-73.1851,41.7703,204.19493,33.5,0.01175,10875,8.3,0.14075,0.14075,0.003,0.01,0.305,0.015,69.5,1.75,76.8,Pass,,0.121666667,0.225,3.509615385,BCG3,BCG3
21.01,,,,NoWade,NonTarget,,2001-2005,-72.8312,41.7845,127.60842,,,,,,,,,,,,,,,,,,,,
21.02,14841,S14841_2001_2005,FARMINGTON RIVER,CMPLTE,Target,1,2001-2005,-72.9254,41.8234,127.60842,8,0.003,5080,18.3,0.1625,0.1765,0.014,0.0015,0.2535,0.0115,64,1.5,57.82,Pass,,0.165048544,0.283171521,3.682310469,BCG3,
22.01,,,,LT1mi2,NonTarget,,2001-2005,-72.5498,41.7836,156.09348,,,,,,,,,,,,,,,,,,,,
22.02,,,,Pond,NonTarget,,2001-2005,-72.6017,41.7797,156.09348,,,,,,,,,,,,,,,,,,,,
22.03,15006,S15006_2001_2005,Hockanum River,CMPLTE,Target,1,2001-2005,-72.5208,41.8073,156.09348,34.5,0.0292,16233.33333,39.21666667,1.985,1.99,0.006,0.223333333,1.651833333,0.256666667,166.3333333,2.333333333,35.54,Fail,,0.698835275,0.006655574,9.905660377,BCG5,BCG5
23.01,14879,S14879_2001_2005,Hop River,CMPLTE,Target,1,2001-2005,-72.3568,41.7341,140.46829,10,0.003,6900,25.8,0.467,0.467,0.003,0.003,0.54,0.012,76,2,,,,0.086460033,0.115823817,4.274193548,,BCG4
24.01,,,,NoWade,NonTarget,,2001-2005,-72.2475,41.7236,140.09278,,,,,,,,,,,,,,,,,,,,
24.02,15007,S15007_2001_2005,Sawmill Brook,CMPLTE,Target,1,2001-2005,-72.2037,41.7423,140.09278,11.33333333,0.006,6493.333333,9.533333333,0.270666667,0.270666667,0.003,0.00533,0.534,0.0223,37.33333333,1.333333333,87.99,Pass,1,0.073333333,0.1,4.230769231,BCG2,BCG4
25.01,,,,Pond,NonTarget,,2001-2005,-71.9713,41.8091,190.6214,,,,,,,,,,,,,,,,,,,,
25.02,,,,LowGrad,Target,,2001-2005,-71.9324,41.835,190.6214,,,,,,,,,,,,,,,,,,,,
25.03,14888,S14888_2001_2005,Ekonk Brook,CMPLTE,Target,1,2001-2005,-71.8782,41.711,190.6214,14,0.0125,6230,11.65,0.871,0.882,0.0025,0.014,1.1655,0.052,66,2,67.34,Pass,,0.625412541,0.00330033,9.947506562,BCG3,BCG4
26.01,,,,Pond,NonTarget,,2001-2005,-71.8442,41.8178,233.85825,,,,,,,,,,,,,,,,,,,,
26.02,,,,Pond,NonTarget,,2001-2005,-71.7964,41.8131,233.85825,,,,,,,,,,,,,,,,,,,,
26.03,,,,Pond,NonTarget,,2001-2005,-71.8122,41.696,233.85825,,,,,,,,,,,,,,,,,,,,
26.04,15008,S15008_2001_2005,Moosup River,CMPLTE,Target,1,2001-2005,-71.8402,41.7175,233.85825,7.333333333,0.014,3743.333333,15.7,0.257333333,0.258333333,0.003,0.00267,0.516666667,0.0357,28,1.333333333,68.68,Pass,1,0.401666667,0.035,9.198473282,BCG3,BCG4
27.01,,,,NoWade,NonTarget,,2001-2005,-73.4775,41.6409,202.73839,,,,,,,,,,,,,,,,,,,,
27.02,14845,S14845_2001_2005,Bull Mountain Brook,CMPLTE,Target,1,2001-2005,-73.4515,41.6783,202.73839,38,0.003,12400,10.4,0.003,0.003,0.003,0.012,0.127,0.2,74,2,63.02,Pass,,0.57704918,0.121311475,8.262910798,BCG3,BCG3
28.01,15024,S15024_2001_2005,Wood Creek,CMPLTE,Target,1,2001-2005,-73.2385,41.6429,213.33674,11.5,0.0045,6870,12.5,0.1615,0.1615,0.003,0.011,0.3185,0.0295,32,2.5,88.38,Pass,,0.093333333,0.048333333,6.588235294,BCG2,BCG2
29.01,,,,Pond,NonTarget,,2001-2005,-73.0005,41.6783,171.188,,,,,,,,,,,,,,,,,,,,
29.02,,,,LT1mi2,NonTarget,,2001-2005,-73.054,41.6376,171.188,,,,,,,,,,,,,,,,,,,,
29.03,14316,S14316_2001_2005,Naugatuck River,CMPLTE,Target,1,2001-2005,-73.0586,41.6185,171.188,20,0.0536,8762.05002,29.902,0.5794,0.5958,0.0164,0.0658,0.939,0.0982,116,4.4,29.58,Fail,,0.635,0.008333333,9.870466321,BCG5,
3.01,14843,S14843_2001_2005,Sandy Brook,CMPLTE,Target,1,2001-2005,-73.0567,41.9904,139.04747,9.5,0.003,4230,7.5,0.03525,0.03525,0.003,0.00525,0.1915,0.0075,46,2.5,95.41,Pass,1,0.003246753,0.089285714,0.350877193,BCG2,BCG2
30.01,,,,LowGrad,Target,,2001-2005,-72.638,41.6767,133.45221,,,,,,,,,,,,,,,,,,,,
30.02,,,,LowGrad,Target,,2001-2005,-72.7998,41.5967,133.45221,,,,,,,,,,,,,,,,,,,,
30.03,14547,S14547_2001_2005,Mattabesset River,CMPLTE,Target,1,2001-2005,-72.7587,41.6271,133.45221,71.16666667,0.0215,22616.66667,9.733333333,0.397833333,0.401833333,0.005,0.0123,0.6655,0.0307,114,2.333333333,,,,0.661764706,0.032679739,9.529411765,,BCG5
31.01,,,,LowGrad,Target,,2001-2005,-72.634,41.6729,152.87464,,,,,,,,,,,,,,,,,,,,
31.02,14858,S14858_2001_2005,Flat Brook,CMPLTE,Target,1,2001-2005,-72.4668,41.6801,152.87464,6,0.004,4710,16.8,0.684,0.684,0.003,0.013,1.117,0.024,60,4,77.65,Pass,,0.421227197,0.179104478,7.016574586,BCG2,BCG2
32.01,15010,S15010_2001_2005,Cabin Brook,CMPLTE,Target,1,2001-2005,-72.3356,41.5601,123.39814,4,0.0283,8336.666667,47.3,0.244666667,0.244666667,0.003,0.00333,0.448666667,0.0227,146,2,60.74,Pass,,0.038333333,0.506666667,0.703363914,BCG3,BCG3
33.01,,,,Pond,NonTarget,,2001-2005,-71.9802,41.6179,135.8037,,,,,,,,,,,,,,,,,,,,
33.02,,,,Pond,NonTarget,,2001-2005,-72.119,41.6363,135.8037,,,,,,,,,,,,,,,,,,,,
33.03,,,,LT1mi2,NonTarget,,2001-2005,-72.0879,41.6667,135.8037,,,,,,,,,,,,,,,,,,,,
33.04,14862,S14862_2001_2005,Bentley Brook,CMPLTE,Target,1,2001-2005,-72.1366,41.5585,135.8037,2,0.003,4830,7.9,0.003,0.003,0.003,0.006,0.2935,0.0085,36,3,68.12,Pass,1,0.069243156,0.700483092,0.89958159,BCG3,
34.01,,,,LowGrad,Target,,2001-2005,-71.9688,41.658,143.76745,,,,,,,,,,,,,,,,,,,,
34.02,15011,S15011_2001_2005,Crooked Brook,CMPLTE,Target,1,2001-2005,-71.9084,41.5987,143.76745,6.666666667,0.00933,3123.333333,3.683333333,0.101,0.101,0.003,0.00267,0.410166667,0.0293,43,5.833333333,52.94,Pass,1,0.033333333,0.796666667,0.401606426,BCG3,BCG5
35.01,,,,LT1mi2,NonTarget,,2001-2005,-73.531,41.4913,86.30765,,,,,,,,,,,,,,,,,,,,
35.02,,,,LT1mi2,NonTarget,,2001-2005,-73.4151,41.4669,86.30765,,,,,,,,,,,,,,,,,,,,
35.03,,,,Pond,NonTarget,,2001-2005,-73.5079,41.4831,86.30765,,,,,,,,,,,,,,,,,,,,
35.04,,,,LowGrad,Target,,2001-2005,-73.4179,41.5355,86.30765,,,,,,,,,,,,,,,,,,,,
35.05,14846,S14846_2001_2005,Sawmill Brook,CMPLTE,Target,1,2001-2005,-73.5105,41.5853,86.30765,22,0.003,8080,8,0.08,0.08,0.003,0.02,0.566,0.033,34,2,75.75,Pass,1,0.225328947,0.029605263,8.838709677,BCG2,BCG2
36.01,,,,LT1mi2,NonTarget,,2001-2005,-73.3218,41.4372,244.97118,,,,,,,,,,,,,,,,,,,,
36.02,15012,S15012_2001_2005,Pomperaug River,CMPLTE,Target,1,2001-2005,-73.2087,41.5226,244.97118,22.25,0.01325,9925,18.475,0.52375,0.52525,0.003,0.00625,0.63475,0.025,74.5,3.25,63.07,Pass,,0.441666667,0.018333333,9.601449275,BCG3,BCG3
37.01,14848,S14848_2001_2005,Naugatuck River,CMPLTE,Target,1,2001-2005,-73.0385,41.5395,234.62663,27.2,0.0254,12305,41.8,0.5357,0.5444,0.0093,0.0396,1.003,0.0731,35.5,7.1,23.7,Fail,,0.376666667,0.011666667,9.699570815,BCG6,
38.01,15013,S15013_2001_2005,Mill River,CMPLTE,Target,1,2001-2005,-72.9047,41.4262,195.74468,59.33333333,0.0202,23950,17.06666667,0.827666667,0.8305,0.00383,0.0197,0.966,0.035,124,1.666666667,51.86,Pass,,0.516666667,0.063333333,8.908045977,BCG4,BCG3
39.01,14857,S14857_2001_2005,Beaver Meadow Brook,CMPLTE,Target,1,2001-2005,-72.5467,41.4425,190.38704,2,0.003,3580,12,0.29,0.29,0.003,0.003,0.364,0.005,6,1,62.25,Pass,1,0.108731466,0.416803954,2.068965517,BCG3,BCG1
4.01,14997,S14997_2001_2005,East Branch Salmon Brook,CMPLTE,Target,1,2001-2005,-72.8418,42.0113,232.20324,12.66666667,0.011,4236.666667,10.93333333,0.300333333,0.300333333,0.003,0.0303,0.378,0.0293,42.66666667,1.666666667,87.87,Pass,1,0.611666667,0.04,9.386189258,BCG2,BCG3
40.01,15014,S15014_2001_2005,Clark Creek,CMPLTE,Target,1,2001-2005,-72.4699,41.4444,189.63891,4.666666667,0.0173,3006.666667,6.966666667,0.0663,0.0663,0.003,0.004,0.154,0.022,54,2,71.96,Pass,1,0.001666667,0.676666667,0.024570025,,BCG3
41.01,,,,LT1mi2,NonTarget,,2001-2005,-72.1541,41.4814,179.96145,,,,,,,,,,,,,,,,,,,,
41.02,,,,LT1mi2,NonTarget,,2001-2005,-72.148,41.4811,179.96145,,,,,,,,,,,,,,,,,,,,
41.03,,,,LT1mi2,NonTarget,,2001-2005,-72.1904,41.4536,179.96145,,,,,,,,,,,,,,,,,,,,
41.04,,,,Pond,NonTarget,,2001-2005,-72.166,41.4734,179.96145,,,,,,,,,,,,,,,,,,,,
41.05,14861,S14861_2001_2005,Latimer Brook,CMPLTE,Target,1,2001-2005,-72.2192,41.4201,179.96145,21,0.003,4950,8.6,0.003,0.003,0.003,0.003,0.188,0.007,48,2,56.1,Pass,1,0.061688312,0.060064935,5.066666667,BCG3,
42.01,,,,LowGrad,Target,,2001-2005,-71.9748,41.556,175.9498,,,,,,,,,,,,,,,,,,,,
42.02,,,,LowGrad,Target,,2001-2005,-71.957,41.4,175.9498,,,,,,,,,,,,,,,,,,,,
42.03,15015,S15015_2001_2005,Seth Williams Brook,CMPLTE,Target,1,2001-2005,-71.972,41.4384,175.9498,15.33333333,0.113666667,8513.333333,13.1,0.859,0.880333333,0.0223,0.0873,1.139333333,0.118,88,3,69.36,Pass,,0.185,0.095,6.607142857,,BCG4
43.01,14859,S14859_2001_2005,Shunock River,CMPLTE,Target,1,2001-2005,-71.8577,41.431,207.44301,7.5,0.003,6235,9.25,0.006,0.006,0.003,0.006,0.375,0.01,47,1.5,67.88,Pass,,0.304635762,0.13410596,6.943396226,BCG3,BCG3
44.01,15016,S15016_2001_2005,Titicus River,CMPLTE,Target,1,2001-2005,-73.5337,41.3316,11.41988,115.3333333,0.0153,39900,50.26666667,0.375333333,0.376333333,0.003,0.0147,0.665,0.103666667,258,3.666666667,,,,0.523333333,0.043333333,9.235294118,,BCG5
45.01,,,,LT1mi2,NonTarget,,2001-2005,-73.5084,41.3722,273.67183,,,,,,,,,,,,,,,,,,,,
45.02,,,,Pond,NonTarget,,2001-2005,-73.4481,41.4196,273.67183,,,,,,,,,,,,,,,,,,,,
45.03,,,,LT1mi2,NonTarget,,2001-2005,-73.3113,41.3787,273.67183,,,,,,,,,,,,,,,,,,,,
45.04,14849,S14849_2001_2005,Limekiln Brook,CMPLTE,Target,1,2001-2005,-73.3761,41.3838,273.67183,38,0.003,14200,21.4,0.428,0.43,0.002,0.016,0.911,0.057,94,3,42.92,Fail,,0.447540984,0.055737705,8.892508143,BCG5,BCG4
46.01,,,,Pond,NonTarget,,2001-2005,-73.2938,41.4022,283.94848,,,,,,,,,,,,,,,,,,,,
46.02,,,,LT1mi2,NonTarget,,2001-2005,-73.0879,41.38,283.94848,,,,,,,,,,,,,,,,,,,,
46.03,15017,S15017_2001_2005,Fivemile Brook,CMPLTE,Target,1,2001-2005,-73.1596,41.3868,283.94848,10.33333333,0.004,7103.333333,18.56666667,0.586,0.586,0.003,0.00167,0.576333333,0.0517,55.33333333,3,76.3,Pass,,0.544850498,0.205980066,7.256637168,BCG3,BCG2
47.01,,,,Tidal,NonTarget,,2001-2005,-72.8668,41.3982,217.0436,,,,,,,,,,,,,,,,,,,,
47.02,14850,S14850_2001_2005,Bladdens River,CMPLTE,Target,1,2001-2005,-73.0163,41.3858,217.0436,10,0.007,7930,26.3,0.472,0.474,0.002,0.016,0.562,0.034,18,2,,,,0.039215686,0.124183007,2.4,,BCG2
48.01,15018,S15018_2001_2005,Farm River,CMPLTE,Target,1,2001-2005,-72.7716,41.4061,244.40579,70.66666667,0.0207,24066.66667,24.8,1.312666667,1.322,0.0103,0.027,1.153333333,0.032,194,1.333333333,34.58,Fail,,0.668333333,0.013333333,9.804400978,BCG4,BCG4
49.01,,,,LT1mi2,NonTarget,,2001-2005,-72.5489,41.4391,237.80497,,,,,,,,,,,,,,,,,,,,
49.02,,,,LT1mi2,NonTarget,,2001-2005,-72.4278,41.3755,237.80497,,,,,,,,,,,,,,,,,,,,
49.03,,,,Pond,NonTarget,,2001-2005,-72.504,41.3952,237.80497,,,,,,,,,,,,,,,,,,,,
49.04,,,,Pond,NonTarget,,2001-2005,-72.5906,41.3392,237.80497,,,,,,,,,,,,,,,,,,,,
49.05,14856,S14856_2001_2005,Pond Meadow Brook,CMPLTE,Target,1,2001-2005,-72.5902,41.3806,237.80497,5,0.003,2820,10,0.0095,0.0095,0.003,0.0015,0.1705,0.004,17,3,63.14,Pass,,0.001642036,0.420361248,0.038910506,BCG3,BCG5
5.01,,,,LowGrad,Target,,2001-2005,-72.5266,42.0206,231.53453,,,,,,,,,,,,,,,,,,,,
5.02,14839,S14839_2001_2005,Muddy Brook,CMPLTE,Target,1,2001-2005,-72.6838,42.0339,231.53453,34,0.004,17800,22.6,1.695,1.7,0.005,0.011,2.094,0.021,106,2,,,,0.411960133,0.049833887,8.920863309,,BCG3
50.01,,,,LowGrad,Target,,2001-2005,-72.2941,41.3654,138.94318,,,,,,,,,,,,,,,,,,,,
50.02,15020,S15020_2001_2005,Eightmile River,CMPLTE,Target,1,2001-2005,-72.3396,41.4297,138.94318,10,0.00875,5682.5,11.05,0.1365,0.1365,0.003,0.00375,0.318,0.0405,80.5,2,78.87,Pass,1,0.213333333,0.608333333,2.596348884,,BCG3
51.01,,,,Tidal,NonTarget,,2001-2005,-72.1631,41.3121,94.99744,,,,,,,,,,,,,,,,,,,,
51.02,14860,S14860_2001_2005,Flat Brook,CMPLTE,Target,1,2001-2005,-72.0749,41.4063,94.99744,6.5,0.003,5350,15.5,0.415,0.415,0.003,0.002,0.633,0.0045,62,2.5,62.72,Pass,,0.071428571,0.679401993,0.951327434,BCG3,BCG2
52.01,,,,LT1mi2,NonTarget,,2001-2005,-71.9283,41.3853,87.72071,,,,,,,,,,,,,,,,,,,,
52.02,,,,Tidal,NonTarget,,2001-2005,-71.8637,41.3397,87.72071,,,,,,,,,,,,,,,,,,,,
52.03,,,,LowGrad,Target,,2001-2005,-71.8363,41.3901,87.72071,,,,,,,,,,,,,,,,,,,,
52.04,,,,Pond,NonTarget,,2001-2005,-71.9116,41.4063,87.72071,,,,,,,,,,,,,,,,,,,,
52.05,,,,LT1mi2,NonTarget,,2001-2005,-71.9131,41.3563,87.72071,,,,,,,,,,,,,,,,,,,,
52.06,,,,Tidal,NonTarget,,2001-2005,-71.9173,41.3482,87.72071,,,,,,,,,,,,,,,,,,,,
52.07,14721,S14721_2001_2005,Shunock River,CMPLTE,Target,1,2001-2005,-71.8489,41.412,87.72071,13.33333333,0.00667,9676.666667,10.16666667,0.296333333,0.297,0.00267,0.014,0.578333333,0.0383,95.33333333,1.666666667,62.1,Pass,,0.428333333,0.035,9.244604317,BCG3,BCG3
52.08,,,,Pond,NonTarget,,2001-2005,-71.9271,41.387,87.72071,,,,,,,,,,,,,,,,,,,,
52.09,,,,LowGrad,Target,,2001-2005,-71.8537,41.42,87.72071,,,,,,,,,,,,,,,,,,,,
52.1,,,,Tidal,NonTarget,,2001-2005,-71.8744,41.3394,87.72071,,,,,,,,,,,,,,,,,,,,
53.01,,,,LT1mi2,NonTarget,,2001-2005,-73.5452,41.1567,141.07564,,,,,,,,,,,,,,,,,,,,
53.02,,,,LT1mi2,NonTarget,,2001-2005,-73.4218,41.2401,141.07564,,,,,,,,,,,,,,,,,,,,
53.03,,,,NoAcc,Target,,2001-2005,-73.4206,41.2275,141.07564,,,,,,,,,,,,,,,,,,,,
53.04,14853,S14853_2001_2005,Norwalk River,CMPLTE,Target,1,2001-2005,-73.431,41.2042,141.07564,75,0.009,22750,57.55,0.4055,0.4075,0.0035,0.052,0.7195,0.0635,164,2.5,35.84,Fail,,0.651162791,0.016611296,9.751243781,BCG5,BCG4
54.01,,,,LT1mi2,NonTarget,,2001-2005,-73.345,41.1622,283.27855,,,,,,,,,,,,,,,,,,,,
54.02,15022,S15022_2001_2005,West Branch Saugatuck River,CMPLTE,Target,1,2001-2005,-73.4097,41.2433,283.27855,25,0.017,9380,14.13333333,0.199,0.2,0.003,0.0143,0.4755,0.0818,166.6666667,1.833333333,61.54,Pass,1,0.513333333,0.028333333,9.476923077,,BCG5
55.01,14852,S14852_2001_2005,Pumpkin Ground Brook,CMPLTE,Target,1,2001-2005,-73.1358,41.2422,164.89145,15,0.0035,11650,41.35,0.6575,0.66,0.0025,0.0025,0.8405,0.004,43,2,35.31,Fail,,0.066006601,0.301980198,1.793721973,BCG5,BCG5
56.01,,,,Pond,NonTarget,,2001-2005,-72.8604,41.2778,30.62587,,,,,,,,,,,,,,,,,,,,
56.02,,,,Tidal,NonTarget,,2001-2005,-72.8178,41.2705,30.62587,,,,,,,,,,,,,,,,,,,,
56.03,,,,Tidal,NonTarget,,2001-2005,-72.8949,41.2499,30.62587,,,,,,,,,,,,,,,,,,,,
56.04,,,,Pond,NonTarget,,2001-2005,-72.86,41.282,30.62587,,,,,,,,,,,,,,,,,,,,
56.05,,,,Tidal,NonTarget,,2001-2005,-72.8848,41.2578,30.62587,,,,,,,,,,,,,,,,,,,,
56.06,,,,Tidal,NonTarget,,2001-2005,-72.9603,41.2549,30.62587,,,,,,,,,,,,,,,,,,,,
56.07,,,,LT1mi2,NonTarget,,2001-2005,-72.8806,41.2872,30.62587,,,,,,,,,,,,,,,,,,,,
56.08,15023,S15023_2001_2005,Farm River,CMPLTE,Target,1,2001-2005,-72.8627,41.2947,30.62587,79.66666667,0.0107,27533.33333,14.73333333,1.895333333,1.900666667,0.00533,0.0203,1.623,0.0337,192.6666667,4.666666667,,,,0.185,0.048333333,7.928571429,,BCG5
57.01,,,,Tidal,NonTarget,,2001-2005,-72.6913,41.2822,16.1468,,,,,,,,,,,,,,,,,,,,
57.02,,,,Tidal,NonTarget,,2001-2005,-72.5869,41.2737,16.1468,,,,,,,,,,,,,,,,,,,,
57.03,,,,Tidal,NonTarget,,2001-2005,-72.6806,41.2618,16.1468,,,,,,,,,,,,,,,,,,,,
57.04,14854,S14854_2001_2005,Neck River,CMPLTE,Target,1,2001-2005,-72.6201,41.2882,16.1468,10,0.003,7060,29.2,0.268,0.268,0.003,0.01,0.391,0.019,64,3,,,,,,,,BCG5
58.01,,,,Tidal,NonTarget,,2001-2005,-72.3924,41.2712,11.83216,,,,,,,,,,,,,,,,,,,,
58.02,,,,Tidal,NonTarget,,2001-2005,-72.4762,41.2764,11.83216,,,,,,,,,,,,,,,,,,,,
58.03,,,,Tidal,NonTarget,,2001-2005,-72.4543,41.2855,11.83216,,,,,,,,,,,,,,,,,,,,
58.04,,,,Tidal,NonTarget,,2001-2005,-72.4718,41.2698,11.83216,,,,,,,,,,,,,,,,,,,,
58.05,,,,Tidal,NonTarget,,2001-2005,-72.5134,41.2653,11.83216,,,,,,,,,,,,,,,,,,,,
58.06,,,,Tidal,NonTarget,,2001-2005,-72.4662,41.2803,11.83216,,,,,,,,,,,,,,,,,,,,
58.07,,,,Tidal,NonTarget,,2001-2005,-72.4935,41.2751,11.83216,,,,,,,,,,,,,,,,,,,,
